long,lat,year,nat,id,trp,group.regroup
83.41,5.595,1791,British,124,3429,124.1
83.41,5.816666667,1791,British,124,3429,124.1
83.41,6.038333333,1791,British,124,3429,124.1
83.41,6.26,1791,British,124,3429,124.1
-13.63,37.4,1791,British,13,3429,13.1
-13.69397457,37.24675127,1791,British,13,3429,13.1
-13.75768943,37.09346827,1791,British,13,3429,13.1
-13.82114701,36.94015132,1791,British,13,3429,13.1
-13.88434972,36.78680074,1791,British,13,3429,13.1
-13.94729993,36.63341686,1791,British,13,3429,13.1
-14.01,36.48,1791,British,13,3429,13.1
-14.01,36.48,1791,British,14,3429,14.1
-14.14829109,36.29372351,1791,British,14,3429,14.1
-14.2859231,36.10728854,1791,British,14,3429,14.1
-14.42290306,35.92069691,1791,British,14,3429,14.1
-14.55923794,35.73395043,1791,British,14,3429,14.1
-14.69493465,35.54705087,1791,British,14,3429,14.1
-14.83,35.36,1791,British,14,3429,14.1
-14.83,35.36,1791,British,15,3429,15.1
-14.95974519,35.18033935,1791,British,15,3429,15.1
-15.08891787,35.00054095,1791,British,15,3429,15.1
-15.21752389,34.82060633,1791,British,15,3429,15.1
-15.34556909,34.64053698,1791,British,15,3429,15.1
-15.47305923,34.46033438,1791,British,15,3429,15.1
-15.6,34.28,1791,British,15,3429,15.1
-15.6,34.28,1791,British,16,3429,16.1
-15.71981159,34.06695091,1791,British,16,3429,16.1
-15.83902201,33.85378614,1791,British,16,3429,16.1
-15.95763873,33.6405072,1791,British,16,3429,16.1
-16.07566913,33.42711556,1791,British,16,3429,16.1
-16.19312049,33.21361268,1791,British,16,3429,16.1
-16.31,33,1791,British,16,3429,16.1
-16.31,33,1791,British,17,3429,17.1
-16.54863047,32.85278184,1791,British,17,3429,17.1
-16.78646916,32.70511226,1791,British,17,3429,17.1
-17.02352074,32.55699529,1791,British,17,3429,17.1
-17.25978992,32.40843493,1791,British,17,3429,17.1
-17.49528143,32.25943519,1791,British,17,3429,17.1
-17.73,32.11,1791,British,17,3429,17.1
-17.73,32.11,1791,British,18,3429,18.1
-17.76322944,32.16668851,1791,British,18,3429,18.1
-17.79650025,32.22336832,1791,British,18,3429,18.1
-17.82981257,32.2800394,1791,British,18,3429,18.1
-17.86316655,32.33670173,1791,British,18,3429,18.1
-17.89656231,32.39335527,1791,British,18,3429,18.1
-17.93,32.45,1791,British,18,3429,18.1
-17.93,32.45,1791,British,19,3429,19.1
-17.80946005,32.36861762,1791,British,19,3429,19.1
-17.6891371,32.28712077,1791,British,19,3429,19.1
-17.56903039,32.20551002,1791,British,19,3429,19.1
-17.44913915,32.12378594,1791,British,19,3429,19.1
-17.32946261,32.04194908,1791,British,19,3429,19.1
-17.21,31.96,1791,British,19,3429,19.1
-9.33,48.31,1791,British,2,3429,2.1
-9.620739403,48.16513002,1791,British,2,3429,2.1
-9.909836959,48.01953102,1791,British,2,3429,2.1
-10.19730216,47.8732108,1791,British,2,3429,2.1
-10.48314458,47.72617712,1791,British,2,3429,2.1
-10.76737394,47.57843765,1791,British,2,3429,2.1
-11.05,47.43,1791,British,2,3429,2.1
-17.21,31.96,1791,British,20,3429,20.1
-17.2385997,31.7850157,1791,British,20,3429,20.1
-17.26709134,31.61002503,1791,British,20,3429,20.1
-17.29547608,31.43502806,1791,British,20,3429,20.1
-17.32375503,31.26002485,1791,British,20,3429,20.1
-17.3519293,31.08501548,1791,British,20,3429,20.1
-17.38,30.91,1791,British,20,3429,20.1
-17.38,30.91,1791,British,21,3429,21.1
-17.55776445,30.60058564,1791,British,21,3429,21.1
-17.73439658,30.29093117,1791,British,21,3429,21.1
-17.90991653,29.98104103,1791,British,21,3429,21.1
-18.08434414,29.67091961,1791,British,21,3429,21.1
-18.25769891,29.36057119,1791,British,21,3429,21.1
-18.43,29.05,1791,British,21,3429,21.1
-18.43,29.05,1791,British,22,3429,22.1
-18.62986868,29.06407447,1791,British,22,3429,22.1
-18.82979136,29.0778528,1791,British,22,3429,22.1
-19.02976694,29.09133476,1791,British,22,3429,22.1
-19.22979432,29.10452011,1791,British,22,3429,22.1
-19.42987238,29.1174086,1791,British,22,3429,22.1
-19.63,29.13,1791,British,22,3429,22.1
-19.63,29.13,1791,British,23,3429,23.1
-19.75271545,28.95027338,1791,British,23,3429,23.1
-19.87500562,28.77043581,1791,British,23,3429,23.1
-19.99687487,28.59048851,1791,British,23,3429,23.1
-20.11832751,28.41043266,1791,British,23,3429,23.1
-20.23936781,28.23026943,1791,British,23,3429,23.1
-20.36,28.05,1791,British,23,3429,23.1
-20.36,28.05,1791,British,24,3429,24.1
-20.61277339,27.6527688,1791,British,24,3429,24.1
-20.86371589,27.25508247,1791,British,24,3429,24.1
-21.11286924,26.8569519,1791,British,24,3429,24.1
-21.36027437,26.45838771,1791,British,24,3429,24.1
-21.60597147,26.05940034,1791,British,24,3429,24.1
-21.85,25.66,1791,British,24,3429,24.1
-21.85,25.66,1791,British,25,3429,25.1
-22.15585922,25.17316483,1791,British,25,3429,25.1
-22.45928369,24.68570611,1791,British,25,3429,25.1
-22.76034277,24.19764239,1791,British,25,3429,25.1
